vin,year,make,model,price,exterior,interior,miles,url,dealer,phone,address,zipcode
2HGFC1E59LH700855,2020,Honda,Civic,28900.00,Gray,,"11,691",https://www.autotrader.com/cars-for-sale/vehicle/728464050,Sterling Acura,,4801 S INTERSTATE 35,78744
19XFC1F31HE021063,2017,Honda,Civic,18900.00,Blue,Gray,"57,940",https://www.autotrader.com/cars-for-sale/vehicle/728463114,Mercedes-Benz of Austin,6784487530,6757 Airport Blvd,78752
19XFC2F86HE037535,2017,Honda,Civic,19699.00,Silver,Black,"32,656",https://www.autotrader.com/cars-for-sale/vehicle/728480069,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
SHHFK7H91KU216944,2019,Honda,Civic,25290.00,Blue,Black,"21,828",https://www.autotrader.com/cars-for-sale/vehicle/728439019,Toyota Of North Austin,7378430244,8400 Research Boulevard,78758
SHHFK8G7XMU203411,2021,Honda,Civic,39936.00,Blue,Unavail,"28,853",https://www.autotrader.com/cars-for-sale/vehicle/723830827,Audi South Austin,5126606700,4738 S IH 35 FRONTAGE RD,78745
2HGFE2F54NH557959,2022,Honda,Civic,24195.00,Blue,Black,"27,271",https://www.autotrader.com/cars-for-sale/vehicle/728995825,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFC1E52LH707470,2020,Honda,Civic,27414.00,Blue,Black,"25,260",https://www.autotrader.com/cars-for-sale/vehicle/728633957,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFC3B37JH354803,2018,Honda,Civic,20000.00,Black,Black,"50,033",https://www.autotrader.com/cars-for-sale/vehicle/727731890,Leif Johnson Ford,5124543711,501 E. Koenig Ln,78751
2HGFE2F51RH554877,2024,Honda,Civic,25999.00,Red,Black,"2,927",https://www.autotrader.com/cars-for-sale/vehicle/707394144,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE2F50NH534615,2022,Honda,Civic,25282.00,Red,Black,"17,092",https://www.autotrader.com/cars-for-sale/vehicle/727104457,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
